file;argcount;prob;ca_sol_n;ca_time_ns;m_sol_n;m_time_ns
128_0.3;128;0.3;1;114031400;1;89025400
64_0.2;64;0.2;3;40009100;3;30006100
512_0.4;512;0.4;1;-600000000000;1;-600000000000
128_0.2;128;0.2;1;72114600;1;65177700
32_0.1;32;0.1;1;33007600;1;26006300
32_0.5;32;0.5;1;35007800;1;28006600
16_0.4;16;0.4;2;36007900;2;31006900
64_0.3;64;0.3;1;41008400;1;32007600
32_0.7;32;0.7;1;35009000;1;29007100
128_0.7;128;0.7;1;101022500;1;59013800
64_0.7;64;0.7;1;41009700;1;31007300
512_0.6;512;0.6;1;315539748700;1;168538758900
64_0.6;64;0.6;1;39878400;1;31006700
32_0.6;32;0.6;1;35008200;1;29006700
128_0.6;128;0.6;1;104022900;1;68015400
256_0.1;256;0.1;2;16823797300;2;26215430300
256_0.8;256;0.8;1;741169700;1;429097700
32_0.3;32;0.3;2;34008100;2;29006900
16_0.3;16;0.3;1;38008600;1;31007300
512_0.5;512;0.5;1;-600000000000;1;-600000000000
256_0.2;256;0.2;1;97431205400;1;245771487100
256_0.5;256;0.5;1;6617717200;1;6767527900
32_0.8;32;0.8;1;35007700;1;26006400
128_0.5;128;0.5;1;132029600;1;101023000
512_0.8;512;0.8;1;37746065100;1;7933792700
512_0.1;512;0.1;1;-600000000000;1;-600000000000
32_0.9;32;0.9;1;35008300;1;27626600
128_0.4;128;0.4;1;138030400;1;129029300
64_0.8;64;0.8;1;41009100;1;31006900
16_0.7;16;0.7;2;37008200;2;31008400
16_0.5;16;0.5;1;40007900;1;31006900
256_0.6;256;0.6;1;3990900400;1;2625592000
32_0.4;32;0.4;2;34007600;2;26006100
256_0.3;256;0.3;1;41628422500;1;106463816300
16_0.9;16;0.9;2;36007300;2;33004700
128_0.8;128;0.8;1;102023100;1;56012600
256_0.9;256;0.9;1;580338200;1;149034200
128_0.9;128;0.9;1;78827700;1;53011200
64_0.1;64;0.1;2;43014600;2;31006100
512_0.3;512;0.3;1;-600000000000;1;-600000000000
64_0.5;64;0.5;1;45009200;1;32008600
16_0.8;16;0.8;1;37007500;1;33007700
16_0.6;16;0.6;2;40851800;2;33007700
128_0.1;128;0.1;2;57628400;2;43009700
256_0.4;256;0.4;1;16304534400;1;16693768700
256_0.7;256;0.7;1;1623068900;1;1265285900
16_0.1;16;0.1;1;34008200;1;31006100
16_0.2;16;0.2;1;36009200;1;31005900
32_0.2;32;0.2;2;34007400;2;26006100
512_0.2;512;0.2;1;-600000000000;1;-600000000000
64_0.4;64;0.4;1;41009700;1;33007100
512_0.9;512;0.9;1;14257234700;1;3728841400
64_0.9;64;0.9;1;42008800;1;33007900
512_0.7;512;0.7;1;93051037800;1;40758504500
