file;argcount;prob;ca_sol_n;ca_time_ns;m_sol_n;m_time_ns
T-2-stb_265_466;;;5;4932514900;5;7541738400
A-2-ferry2.pfile-L3-C4-09.pddl.2.cnf;;;4627;1946800300;4627;703159600
A-2-admbuster_10000;;;1;148025200;1;110979200
A-2-BA_200_30_2;;;13122;1744369200;13122;926802400
Small-result-b96;;;4;39008900;4;31006800
T-1-stb_218_401;;;3;53585800;3;42009900
C-1-BA_120_20_5;;;4374;371082600;4374;190042200
C-1-grd_489_5_8;;;1;46010600;1;43010200
T-2-grd_4383_1_10;;;1;242702200;1;343648600
Small-result-b54;;;5;42009200;5;31006800
T-1-BA_20_60_3;;;378;43200800;378;31007900
T-1-grd_156_3_6;;;1;28006500;1;27006300
Small-result-b10;;;3;34008000;3;25007500
T-1-ER_100_30_5;;;2;57689000;2;39007900
B-1-afinput_exp_cycles_indvary1_step8_batch_yyy08;;;1;37446400;1;31007300
n128p5q2_ve;;;8;196044000;8;259058700
Small-result-b56;;;6;36012500;6;27006000
A-1-BA_40_80_5;;;13122;1725221900;13122;726552600
Small-result-b84;;;4;34007000;4;26006500
A-2-stb_422_250;;;3;7270639400;3;10036712600
Small-result-b57;;;3;31007100;3;25006600
T-1-afinput_exp_acyclic_indvary1_step3_batch_yyy03;;;2;42730400;2;34007700
Small-result-b34;;;9;32010800;9;25005400
Small-result-b41;;;4;31007400;4;25006000
T-1-ferry2.pfile-L2-C4-06.pddl.2.cnf;;;12594;3879284000;12594;2023456500
n100p5q2;;;4;93022400;4;90019100
B-1-BA_100_20_1;;;1458;123027700;1458;69248500
C-1-afinput_exp_cycles_indvary1_step6_batch_yyy02;;;1;34007900;1;28006400
C-2-afinput_exp_acyclic_depvary_step6_batch_yyy05;;;1;6455456700;1;1149260100
B-3-stb_327_100;;;3;15890437200;3;28848751200
A-3-afinput_exp_acyclic_depvary_step6_batch_yyy04;;;1;5246680400;1;936211400
B-3-stb_763_492;;;4;3002683100;4;2193090300
B-3-stb_522_11;;;13;675437000;13;825187400
Small-result-b69;;;6;34007800;6;27006500
A-1-brookings-or-us.gml.50;;;6;39008800;6;34007100
A-1-ferry2.pfile-L2-C1-08.pddl.1.cnf;;;2538;198043900;2538;117027300
C-1-BA_60_60_2;;;6561;554124100;6561;299067400
C-1-bluestar-or-us.gml.20;;;9;33007200;9;26006100
Small-result-b2;;;3;37009400;3;31007600
Small-result-b108;;;4;38414400;4;29007100
Small-result-b28;;;3;207045000;3;168037700
A-2-stb_428_430;;;4;5723727100;4;8102686400
Small-result-b45;;;4;35007200;4;27006900
T-1-stb_127_253;;;21;41256100;21;30006900
n160p3q24e;;;213;4369951400;213;6039364300
T-2-afinput_exp_cycles_depvary_step4_batch_yyy03;;;1;2680999500;1;544224400
T-4-grd_8020_3_4;;;1;3743406400;1;3906882700
A-3-afinput_exp_cycles_indvary2_step1_batch_yyy10;;;1;8965046200;1;1428342700
T-2-grd_5178_1_1;;;1;341077300;1;481364800
T-1-cascadespoint-or-us.gml.20;;;1;32007400;1;26005500
A-1-grd_418_2_9;;;3;35988600;3;40999600
Small-result-b93;;;4;48011900;4;37009000
T-1-admbuster_1000;;;1;43009100;1;34008100
A-1-grd_1790_4_8;;;1;180987800;1;221998300
C-2-afinput_exp_cycles_depvary_step3_batch_yyy08;;;2;7095047900;2;1236278900
T-3-afinput_exp_cycles_indvary1_step3_batch_yyy02;;;1;5474339100;1;833189500
A-2-BA_180_20_1;;;19683;2498284100;19683;1724827500
Small-result-b64;;;9;35008700;9;27006400
Small-result-b99;;;4;39009400;4;31006600
Small-result-b22;;;3;35006900;3;28005900
A-1-afinput_exp_acyclic_depvary_step3_batch_yyy01;;;1;34008300;1;33006900
T-1-grd_1222_5_4;;;1;107495900;1;130028800
Small-result-b85;;;4;33007400;4;25005700
T-3-afinput_exp_acyclic_indvary1_step2_batch_yyy09;;;1;15272466300;1;2039960800
T-1-admbuster_6000;;;1;86734200;1;70015400
T-1-stb_280_229;;;6;39008900;6;31007100
A-2-grd_1948_5_1;;;1;289066500;1;328073100
A-3-afinput_exp_acyclic_depvary_step5_batch_yyy01;;;1;4672693200;1;844506700
Small-result-b46;;;6;33006600;6;27006400
B-2-afinput_exp_acyclic_indvary2_step2_batch_yyy10;;;1;17092261400;1;2211499300
Small-result-b52;;;16;41010000;16;31006800
A-3-afinput_exp_cycles_indvary2_step1_batch_yyy04;;;1;9097053300;1;1456913300
A-3-grd_8034_1_2;;;1;809604500;1;1237283900
Small-result-b78;;;6;28006300;6;26006500
Small-result-b76;;;6;39008700;6;29007000
Small-result-b77;;;6;29007300;6;27006700
A-2-stb_547_485;;;10;5391080100;10;7073594900
A-4-afinput_exp_acyclic_indvary1_step2_batch_yyy07;;;1;30943247800;1;3740921300
T-2-afinput_exp_cycles_depvary_step4_batch_yyy02;;;1;3600234200;1;670151900
T-2-admbuster_10000;;;1;137030700;1;103023200
A-1-stb_389_42;;;18;56998900;18;44999300
C-1-BA_80_20_4;;;9;33699200;9;27517800
Medium-result-b16;;;11;812711900;11;293065800
Small-result-b25;;;3;42009400;3;33007700
A-1-BA_60_70_3;;;122472;82701641400;122472;26777988000
A-1-admbuster_2000;;;1;46010800;1;44941400
C-1-calaveras-transit_20151216_1707.gml.50;;;13404;1877423300;13404;645278900
Small-result-b20;;;3;37007900;3;29007200
T-2-afinput_exp_cycles_indvary3_step1_batch_yyy04;;;1;3295690500;1;657804200
B-1-admbuster_1000;;;1;45586200;1;38008000
B-1-stb_199_128;;;9;37008500;9;32007300
B-1-admbuster_2000;;;1;56311100;1;44009900
Small-result-b13;;;3;32007300;3;24005900
C-2-stb_304_352;;;3;16814553600;3;25888385700
T-1-stb_192_170;;;3;43011300;3;32006500
T-1-admbuster_4000;;;1;65798700;1;55014000
Medium-result-b1;;;24;2050549900;24;487110500
Small-result-b48;;;5;32007700;5;26005400
Small-result-b37;;;9;32644400;9;26006100
n256p3q08n;;;4;68988220900;4;152836152900
Small-result-b87;;;4;32007100;4;27006200
Small-result-b19;;;3;34008600;3;28005700
T-3-afinput_exp_cycles_indvary2_step1_batch_yyy04;;;1;9087756600;1;1431471500
T-2-grd_1697_5_7;;;1;215460500;1;234052300
B-3-stb_457_193;;;3;3646692300;3;6013274400
B-4-stb_547_485;;;10;5427455300;10;7025950300
B-2-stb_625_161;;;3;323320500;3;374099500
Small-result-b9;;;3;31504900;3;27005600
B-2-comune-di-castellanza_20151218_2338.gml.80;;;178682;350533060500;178682;36601961500
A-1-afinput_exp_acyclic_indvary3_step1_batch_yyy10;;;1;29011400;1;32007400
Small-result-b73;;;3;32287300;3;26006200
T-1-ferry2.pfile-L2-C4-07.pddl.2.cnf;;;12594;3877875200;12594;2025457800
Small-result-b102;;;4;41009600;4;32006900
T-3-afinput_exp_acyclic_depvary_step6_batch_yyy04;;;1;5166182100;1;882199800
T-1-afinput_exp_acyclic_indvary1_step5_batch_yyy10;;;1;34007300;1;26005500
A-2-afinput_exp_acyclic_depvary_step6_batch_yyy05;;;1;6477741000;1;1156261000
B-2-afinput_exp_cycles_indvary2_step1_batch_yyy01;;;2;16185780500;2;2122477400
B-1-grd_3018_3_7;;;1;385090700;1;470105800
C-2-afinput_exp_acyclic_indvary1_step2_batch_yyy07;;;1;32153386500;1;3922082300
A-4-afinput_exp_acyclic_depvary_step8_batch_yyy09;;;1;24584933600;1;3160903600
T-4-afinput_exp_acyclic_indvary1_step2_batch_yyy07;;;1;31080230400;1;3750684600
T-2-ferry2.pfile-L3-C3-03.pddl.2.cnf;;;4627;1474662300;4627;571128600
Small-result-b24;;;3;42008500;3;34007700
B-1-BA_40_30_3;;;162;42974600;162;33008200
C-1-grd_3018_3_7;;;1;381085500;1;491026400
Small-result-b66;;;3;34881600;3;27006500
T-4-afinput_exp_acyclic_depvary_step8_batch_yyy09;;;1;24609188400;1;3156426500
C-1-grd_8034_1_2;;;1;825854200;1;1258156900
A-3-bw2.pfile-4-02.pddl.2.cnf;;;2299;1116586100;2299;401236100
C-1-afinput_exp_acyclic_indvary1_step1_batch_yyy08;;;1;36007700;1;28005700
B-3-WS_300_16_70_30;;;3;8618626700;3;11409389800
Small-result-b30;;;3;32007500;3;26006800
C-1-admbuster_10000;;;1;140032000;1;108024400
A-1-afinput_exp_acyclic_indvary1_step5_batch_yyy09;;;1;31007400;1;31007200
Small-result-b100;;;4;60548000;4;27006600
T-3-afinput_exp_cycles_depvary_step4_batch_yyy05;;;2;8309223000;2;1315297000
T-1-afinput_exp_acyclic_indvary1_step3_batch_yyy10;;;1;36009100;1;29006300
B-3-stb_428_430;;;4;5747376800;4;8403353800
T-3-afinput_exp_cycles_indvary1_step1_batch_yyy02;;;1;5402218400;1;903213000
B-3-stb_390_450;;;2;3482786600;2;4137935100
T-2-grd_3018_3_7;;;1;377084700;1;470057900
T-1-caravan-airport-transportation_20151216_1604.gml.20;;;9;39697000;9;26912100
T-1-grd_1892_1_3;;;1;70015800;1;80018300
Small-result-b12;;;3;34114400;3;26005800
Small-result-b59;;;3;34007900;3;27006400
Medium-result-b25;;;10;2014790900;10;650220800
Small-result-b55;;;11;40009500;11;29006600
Small-result-b97;;;4;41009300;4;32007100
Small-result-b11;;;3;32007400;3;25124200
Small-result-b42;;;4;31007500;4;26006000
Small-result-b75;;;6;37007800;6;28006400
A-1-rockland-county-department-of-public-transportation_20121220_2018.gml.20;;;4;34007200;4;31006700
Small-result-b17;;;3;33005900;3;28006900
T-2-afinput_exp_acyclic_depvary_step5_batch_yyy03;;;1;1398315800;1;317247500
C-1-admbuster_8000;;;1;115025900;1;88018100
T-3-afinput_exp_cycles_indvary2_step1_batch_yyy03;;;1;7359446000;1;1209274600
A-1-grd_489_5_8;;;1;44001100;1;49867600
A-1-BA_120_30_3;;;19683;2687618600;19683;1596359900
Small-result-b103;;;4;40008600;4;30007500
Small-result-b62;;;9;36008300;9;28006400
B-3-afinput_exp_acyclic_depvary_step7_batch_yyy08;;;1;28913391900;1;3761004100
A-1-ferry2.pfile-L3-C1-04.pddl.2.cnf;;;15709;3280376700;15709;2008012400
n192p5q2_ve;;;17;2402543100;17;2898655200
Small-result-b14;;;3;32007300;3;26006700
B-1-ferry2.pfile-L2-C1-02.pddl.2.cnf;;;8118;1664375400;8118;603916200
A-4-afinput_exp_acyclic_depvary_step7_batch_yyy08;;;1;27865086400;1;3531732000
Small-result-b63;;;9;35007900;9;27006700
Small-result-b80;;;6;27716500;6;26006100
A-2-WS_300_16_70_30;;;3;8506298800;3;10926389700
n160p5q2_ve;;;9;891922100;9;845191800
Small-result-b15;;;3;34328400;3;27005500
Small-result-b33;;;3;31007200;3;26006200
C-1-WS_200_28_70_10;;;2;2040805800;2;2517568000
Small-result-b4;;;3;32007400;3;26006200
Small-result-b65;;;3;37008300;3;28006400
Small-result-b105;;;4;38008600;4;29005800
Small-result-b74;;;3;32007500;3;26005800
A-3-afinput_exp_cycles_indvary1_step1_batch_yyy03;;;9;3131794600;9;626632200
B-1-grd_1892_1_3;;;1;72132100;1;86019500
Small-result-b70;;;6;34007800;6;27006100
C-1-grd_5178_1_1;;;1;348078600;1;503113600
C-2-afinput_exp_cycles_indvary2_step1_batch_yyy01;;;2;16737502200;2;2263511600
Small-result-b36;;;3;33007700;3;27006400
A-2-grd_5178_1_1;;;1;342077700;1;475108000
A-1-BA_200_10_5;;;243;50011300;243;39008200
Medium-result-b24;;;10;940211700;10;302936000
n224p5q2_ve;;;10;5700316800;10;7150397400
Small-result-b31;;;3;32006700;3;25006900
Small-result-b58;;;3;31007000;3;25005800
Small-result-b39;;;3;31007600;3;26005900
Medium-result-b17;;;11;2244504500;11;532120500
A-3-afinput_exp_cycles_indvary1_step1_batch_yyy02;;;1;5458137700;1;913206400
B-1-stb_138_162;;;9;49031300;9;35007400
A-2-afinput_exp_cycles_depvary_step4_batch_yyy01;;;3;2484560400;3;517115900
T-1-BA_40_50_2;;;657;59013800;657;37007600
T-1-BA_100_10_5;;;3;33480000;3;26007000
B-1-BA_120_20_2;;;756;88901800;756;51011500
C-3-afinput_exp_acyclic_depvary_step7_batch_yyy08;;;1;28957988000;1;3730486900
Small-result-b101;;;4;40009600;4;31007100
B-1-BA_40_60_2;;;54;35007700;54;31007500
Small-result-b94;;;4;41009200;4;30090600
B-1-university-of-pretoria_20150805_1406.normalized.gml.80;;;54;40009000;54;32926300
A-4-grd_7891_3_9;;;1;3632240800;1;3839551200
B-2-WS_200_20_90_50;;;2;1226979200;2;2088363400
C-1-admbuster_6000;;;1;90855400;1;72670600
B-1-ferry2.pfile-L2-C2-06.pddl.2.cnf;;;852;145032100;852;62013500
A-1-stb_437_137;;;20;52999900;20;38998900
Small-result-b83;;;4;34007500;4;26007800
Small-result-b79;;;6;27454300;6;27005600
C-1-stb_234_487;;;4;42008600;4;53011500
Small-result-b92;;;4;43010400;4;33007400
A-2-afinput_exp_cycles_indvary1_step1_batch_yyy04;;;1;2507566500;1;521117800
Small-result-b82;;;6;33577000;6;26004800
A-1-ER_100_100_1;;;1;52011000;1;47011500
A-2-grd_1697_5_7;;;1;216222400;1;237054300
Small-result-b81;;;5;32007800;5;26006600
B-2-BA_140_30_5;;;39366;14035560400;39366;5910331200
Small-result-b18;;;3;36007700;3;28004700
B-3-stb_430_209;;;4;6406450400;4;7618719900
T-4-grd_6756_4_7;;;1;3716842800;1;3672691000
A-1-stb_291_2;;;4;1002990000;4;1444991800
C-1-afinput_exp_acyclic_indvary1_step5_batch_yyy07;;;1;34008100;1;25005400
C-1-ER_100_100_3;;;1;54012100;1;41009700
A-2-WS_300_16_90_30;;;3;4173427000;3;4764790000
B-1-stb_161_74;;;5;44010500;5;35007500
Small-result-b3;;;3;31006900;3;27006300
Small-result-b21;;;3;34007500;3;26007300
A-2-grd_3018_3_7;;;1;378085100;1;483112300
B-3-stb_696_368;;;6;4037723700;6;3394772100
Small-result-b49;;;4;34008200;4;27492300
B-2-afinput_exp_acyclic_depvary_step8_batch_yyy09;;;1;24623579100;1;3170543200
Small-result-b107;;;4;38008900;4;29006500
C-1-stb_373_251;;;3;75949800;3;52333500
B-2-stb_410_118;;;4;849188500;4;1148260000
T-1-grd_2130_2_7;;;1;124941800;1;159035700
Small-result-b43;;;4;32007400;4;27006900
B-3-stb_380_405;;;2;2450509000;2;4370986100
Small-result-b104;;;4;38009200;4;28883700
Small-result-b51;;;6;35007700;6;28006200
T-4-afinput_exp_acyclic_depvary_step7_batch_yyy08;;;1;27879294600;1;3505797800
A-1-afinput_exp_acyclic_indvary1_step5_batch_yyy04;;;1;26887400;1;31108800
C-1-stb_463_93;;;5;850192200;5;248674700
B-2-stb_291_2;;;4;1026232300;4;1546350400
T-2-stb_339_81;;;17;1538360900;17;2710121900
Small-result-b5;;;3;34007800;3;27006400
Small-result-b50;;;4;35008500;4;27006800
n320p5q2_n;;;19;72185311500;19;85657375500
B-2-stb_287_202;;;2;1139258500;2;2200499100
Small-result-b106;;;4;39008700;4;28006600
T-1-admbuster_2000;;;1;48010300;1;40009400
A-1-grd_2065_1_8;;;1;77001300;1;98000100
A-1-BA_180_10_2;;;81;44010300;81;35008000
Small-result-b68;;;6;36007600;6;28006900
A-1-ferry2.pfile-L2-C1-05.pddl.3.cnf;;;6030;1100753100;6030;393088900
Small-result-b29;;;3;34007500;3;26005400
Small-result-b88;;;4;38008700;4;31006300
T-3-afinput_exp_cycles_depvary_step3_batch_yyy08;;;2;6842257700;2;1146636500
Small-result-b26;;;3;67015300;3;50004300
A-3-afinput_exp_cycles_indvary1_step1_batch_yyy09;;;1;5662977700;1;932910100
A-2-afinput_exp_cycles_depvary_step4_batch_yyy03;;;1;2722618100;1;553123700
B-1-afinput_exp_acyclic_depvary_step5_batch_yyy08;;;1;1528161000;1;345078400
Medium-result-b2;;;24;4201057800;24;1039235200
A-2-grd_3908_2_1;;;1;395089200;1;534130200
B-2-afinput_exp_cycles_indvary2_step1_batch_yyy10;;;1;8904267800;1;1418767200
C-2-afinput_exp_cycles_depvary_step4_batch_yyy05;;;2;8600425700;2;1399172700
B-2-stb_330_291;;;3;1075242500;3;1505339500
Small-result-b91;;;4;42009600;4;32007200
Small-result-b89;;;4;42008900;4;30006300
T-3-afinput_exp_cycles_depvary_step4_batch_yyy04;;;1;7502010400;1;1228277100
A-3-afinput_exp_acyclic_indvary2_step2_batch_yyy10;;;1;17456018400;1;2212499800
n100p3q34ve;;;807;545128500;807;571130900
B-3-WS_300_16_90_30;;;3;4243517100;3;4859588500
B-3-stb_339_393;;;12;13165212800;12;18900983100
Small-result-b27;;;3;62883000;3;53012600
A-1-admbuster_1000;;;1;57012700;1;37925400
T-3-afinput_exp_cycles_indvary2_step1_batch_yyy10;;;1;8929085600;1;1403311900
T-1-BA_100_10_3;;;54;35008400;54;27006500
B-3-stb_767_429;;;5;832273200;5;1013033900
C-1-grd_1222_5_4;;;1;109024600;1;137031000
Medium-result-b23;;;12;2901654200;12;786361200
B-1-grd_156_3_6;;;1;38294200;1;31006900
Small-result-b60;;;9;36008300;9;27005900
A-3-afinput_exp_cycles_indvary1_step3_batch_yyy02;;;1;4936659800;1;850245600
Small-result-b47;;;8;33007300;8;26005200
A-2-admbuster_8000;;;1;122027500;1;93967600
B-1-BA_40_80_4;;;729;69015800;729;43008400
n256p5q2_e;;;19;15743669700;19;15703248200
Small-result-b16;;;3;33007200;3;27005700
Small-result-b44;;;4;34007300;4;29006800
Small-result-b67;;;6;34008100;6;27006000
A-3-afinput_exp_cycles_depvary_step4_batch_yyy05;;;2;8295099000;2;1349856400
T-3-afinput_exp_cycles_indvary1_step2_batch_yyy01;;;1;6803037300;1;1135919100
A-1-admbuster_4000;;;1;66014800;1;60016700
A-3-afinput_exp_cycles_indvary2_step1_batch_yyy03;;;1;7394671800;1;1221751100
A-1-admbuster_6000;;;1;84023500;1;74405600
Small-result-b40;;;6;32006900;6;26006100
T-1-ferry2.pfile-L3-C1-04.pddl.2.cnf;;;15709;3191463200;15709;1885758800
Small-result-b6;;;3;40009600;3;32006500
A-1-caravan-or-us.gml.80;;;1624;103023800;1624;59012500
B-3-stb_590_330;;;5;1805407200;5;1333392400
C-1-admbuster_1000;;;1;47012400;1;34007600
B-1-afinput_exp_acyclic_indvary1_step3_batch_yyy06;;;1;44679500;1;36008800
A-2-afinput_exp_cycles_indvary3_step1_batch_yyy04;;;1;3376682300;1;678619400
Small-result-b86;;;4;32007400;4;26005900
A-1-stb_190_70;;;4;35120100;4;39009100
B-1-massachusetts-archiver_20090912_0208.gml.50;;;33534;6973573700;33534;3414440400
test;;;1;26006200;1;25006800
A-3-afinput_exp_cycles_indvary1_step2_batch_yyy01;;;1;6738521400;1;1151251700
T-2-admbuster_8000;;;1;128028400;1;88020100
T-3-afinput_exp_cycles_indvary1_step1_batch_yyy03;;;9;3107704900;9;601114400
B-1-grd_1948_5_1;;;1;291065400;1;341077400
T-1-BA_80_30_3;;;43740;12175748500;43740;6559481300
Small-result-b90;;;4;39009800;4;29006600
Small-result-b72;;;6;32008300;6;26006600
Small-result-b53;;;4;37008300;4;31007600
T-3-grd_8034_1_2;;;1;822308600;1;1198269800
Small-result-b38;;;9;33008600;9;26006100
T-2-afinput_exp_cycles_indvary1_step1_batch_yyy07;;;1;1329303000;1;300067300
Small-result-b71;;;6;47017200;6;26007000
Small-result-b35;;;6;31006300;6;26005300
Small-result-b8;;;3;31006800;3;26006300
T-2-grd_3434_3_2;;;1;475106300;1;632897900
