file;argcount;prob;ca_sol_n;ca_time_ns;m_sol_n;m_time_ns
128_0.9;128;0.9;1;71805100;1;51012000
16_0.2;16;0.2;1;35007700;1;32007200
128_0.6;128;0.6;1;85019700;1;66015200
256_0.4;256;0.4;1;13392914700;1;16998849600
512_0.7;512;0.7;1;90554473100;1;39861016900
32_0.8;32;0.8;1;27006200;1;26006200
32_0.1;32;0.1;1;27005400;1;27056700
64_0.7;64;0.7;1;34007700;1;33007400
512_0.8;512;0.8;1;32060244300;1;8003808500
64_0.5;64;0.5;1;30006800;1;32007600
32_0.6;32;0.6;1;27006800;1;28006400
64_0.8;64;0.8;1;33007500;1;32007200
256_0.5;256;0.5;1;5893226400;1;6819547700
256_0.3;256;0.3;1;41528418400;1;106897132100
128_0.2;128;0.2;1;61013800;1;58017600
512_0.3;512;0.3;0;-600000000000;0;-600000000000
16_0.1;16;0.1;1;33007700;1;31007400
16_0.5;16;0.5;1;40008700;1;28006900
512_0.1;512;0.1;0;-600000000000;0;-600000000000
64_0.6;64;0.6;1;32007200;1;30006900
256_0.9;256;0.9;1;568128700;1;138797100
16_0.6;16;0.6;1;40008900;1;28006100
128_0.7;128;0.7;1;83018600;1;60013200
16_0.3;16;0.3;1;33006800;1;31007200
64_0.3;64;0.3;1;31007400;1;30006400
128_0.8;128;0.8;1;77017300;1;52012600
128_0.5;128;0.5;1;105023500;1;102020700
512_0.6;512;0.6;1;275293309200;1;167669858200
64_0.9;64;0.9;1;34007400;1;33008300
256_0.1;256;0.1;1;14507275200;1;27130774700
256_0.2;256;0.2;1;102823734100;1;250899381000
32_0.7;32;0.7;1;28006100;1;27005800
64_0.1;64;0.1;1;33007600;1;31006900
256_0.7;256;0.7;1;1451327000;1;1205272300
32_0.4;32;0.4;1;28006700;1;26006100
16_0.8;16;0.8;1;37008700;1;37008800
64_0.2;64;0.2;2;29007600;2;29006300
16_0.7;16;0.7;1;37008700;1;34007200
64_0.4;64;0.4;1;34007800;1;40010000
256_0.8;256;0.8;1;626141300;1;442099100
16_0.9;16;0.9;1;33007700;1;36009300
32_0.3;32;0.3;1;30006800;1;28005700
16_0.4;16;0.4;1;28006000;1;32007900
512_0.4;512;0.4;0;-600000000000;0;-600000000000
32_0.9;32;0.9;1;27005500;1;27005400
512_0.9;512;0.9;1;9862527800;1;3739854900
32_0.5;32;0.5;1;28006400;1;26006400
128_0.4;128;0.4;1;99021700;1;131030000
128_0.1;128;0.1;1;56519600;1;39009100
32_0.2;32;0.2;1;27006700;1;26006100
128_0.3;128;0.3;1;87019700;1;88020000
256_0.6;256;0.6;1;3305747900;1;2567882300
512_0.5;512;0.5;0;-600000000000;0;-600000000000
512_0.2;512;0.2;0;-600000000000;0;-600000000000
