file;argcount;prob;ca_sol_n;ca_time_ns;m_sol_n;m_time_ns
Small-result-b83;;;3;35645700;3;29005200
T-2-afinput_exp_cycles_depvary_step4_batch_yyy02;;;1;3755842500;1;668150600
Small-result-b82;;;3;36008100;3;25005500
T-2-stb_265_466;;;3;4082925300;3;7314641300
C-1-admbuster_6000;;;1;77016200;1;71322700
T-1-grd_156_3_6;;;1;35236500;1;30007200
A-1-stb_291_2;;;3;807180200;3;1581354700
Small-result-b44;;;3;37007400;3;28006400
A-1-ferry2.pfile-L2-C1-08.pddl.1.cnf;;;128;46010100;128;35008300
C-2-afinput_exp_cycles_indvary2_step1_batch_yyy01;;;1;17249152600;1;2093472000
Small-result-b67;;;3;38008500;3;33007100
Small-result-b70;;;3;34008500;3;28007000
Small-result-b78;;;3;32213500;3;27006400
C-3-afinput_exp_acyclic_depvary_step7_batch_yyy08;;;1;29609435300;1;3484782900
A-1-rockland-county-department-of-public-transportation_20121220_2018.gml.20;;;2;34007600;2;32007500
Small-result-b19;;;2;39009300;2;30006100
T-3-afinput_exp_cycles_indvary1_step3_batch_yyy02;;;1;5213670400;1;840197900
A-1-BA_180_10_2;;;16;32007900;16;29006900
Small-result-b50;;;3;38008600;3;31008300
T-2-stb_339_81;;;10;1231337700;10;2586957200
n100p3q34ve;;;475;803180800;475;910209000
A-3-afinput_exp_acyclic_depvary_step6_batch_yyy04;;;1;5471228100;1;880197400
B-1-grd_156_3_6;;;1;36008500;1;31007600
C-1-afinput_exp_acyclic_indvary1_step5_batch_yyy07;;;1;35008500;1;28005800
Small-result-b79;;;3;32007300;3;31006700
B-4-stb_547_485;;;6;4044521800;6;6518089700
n100p5q2;;;3;80022100;3;89019800
A-1-afinput_exp_acyclic_indvary1_step5_batch_yyy09;;;1;30007600;1;34008500
A-2-ferry2.pfile-L3-C4-09.pddl.2.cnf;;;102;369084000;102;60012800
Small-result-b2;;;2;36009100;2;28007000
Small-result-b59;;;2;41009000;2;30006300
Small-result-b20;;;2;36008700;2;25006400
Small-result-b14;;;2;38009000;2;28006100
Small-result-b35;;;3;39008200;3;28006500
Medium-result-b2;;;15;3586270700;15;650906700
Small-result-b102;;;3;44010900;3;35008700
A-3-afinput_exp_cycles_indvary1_step1_batch_yyy09;;;1;5970303500;1;926207800
B-3-afinput_exp_acyclic_depvary_step7_batch_yyy08;;;1;29705678200;1;3511788400
C-1-admbuster_8000;;;1;98022100;1;90020000
Small-result-b10;;;2;35007900;2;27786200
Small-result-b96;;;3;45010400;3;37009500
B-1-stb_161_74;;;3;39009200;3;33006800
A-2-grd_3018_3_7;;;1;388087000;1;474107000
B-1-ferry2.pfile-L2-C2-06.pddl.2.cnf;;;10;39158200;10;31007100
B-1-BA_40_80_4;;;64;41010200;64;35009200
T-1-admbuster_4000;;;1;59971500;1;58014400
B-1-massachusetts-archiver_20090912_0208.gml.50;;;576;80018400;576;44806800
C-1-BA_60_60_2;;;256;59012400;256;38008300
B-1-grd_1892_1_3;;;1;68014800;1;85018900
B-2-stb_330_291;;;2;788177400;2;1351303800
Small-result-b8;;;2;36008900;2;33006000
B-1-afinput_exp_acyclic_indvary1_step3_batch_yyy06;;;1;42642000;1;35007800
Small-result-b60;;;4;37007800;4;26006300
A-1-grd_489_5_8;;;1;39008800;1;52012100
A-3-afinput_exp_acyclic_indvary2_step2_batch_yyy10;;;1;18161506100;1;2208494500
B-3-stb_327_100;;;2;13495495000;2;30587225800
T-1-stb_127_253;;;7;41009000;7;31006700
Small-result-b12;;;2;38009000;2;32007900
Small-result-b49;;;3;35007900;3;30006700
n256p3q08n;;;3;68508021300;3;154387658500
A-1-afinput_exp_acyclic_indvary1_step5_batch_yyy04;;;1;29006400;1;32006900
A-1-ferry2.pfile-L3-C1-04.pddl.2.cnf;;;20;40008900;20;29006400
C-1-afinput_exp_acyclic_indvary1_step1_batch_yyy08;;;1;38008200;1;27005900
A-3-afinput_exp_cycles_indvary2_step1_batch_yyy03;;;1;7726206600;1;1209271500
T-2-admbuster_8000;;;1;100022600;1;95020400
Small-result-b72;;;3;36007900;3;28005800
T-3-afinput_exp_cycles_indvary2_step1_batch_yyy04;;;1;9407120900;1;1435260100
C-1-grd_5178_1_1;;;1;323985100;1;472104600
A-2-admbuster_8000;;;1;104024400;1;88103100
Small-result-b29;;;2;34007600;2;26005300
T-2-grd_4383_1_10;;;1;231050300;1;358080100
A-1-grd_2065_1_8;;;1;68014800;1;93021000
Small-result-b89;;;3;48009600;3;38008900
Small-result-b15;;;2;39008200;2;33007200
Small-result-b71;;;3;38008900;3;30007100
A-4-afinput_exp_acyclic_depvary_step7_batch_yyy08;;;1;29618016600;1;3560157200
B-2-BA_140_30_5;;;768;78279800;768;54011400
C-2-afinput_exp_cycles_depvary_step3_batch_yyy08;;;1;7267290300;1;1140378100
Small-result-b88;;;3;47010900;3;32006500
B-2-afinput_exp_cycles_indvary2_step1_batch_yyy01;;;1;16632641800;1;2118476300
T-4-afinput_exp_acyclic_indvary1_step2_batch_yyy07;;;1;32800362600;1;3691828900
Medium-result-b25;;;8;1946647500;8;535119900
A-2-WS_300_16_70_30;;;2;7079600300;2;11059275400
A-3-afinput_exp_cycles_indvary2_step1_batch_yyy04;;;1;9568147900;1;1414317800
test;;;1;29008200;1;25006000
Small-result-b93;;;3;47291100;3;35007500
Small-result-b38;;;4;38009000;4;28005700
T-1-stb_218_401;;;2;50011700;2;45010100
n224p5q2_ve;;;9;4669577600;9;6243402000
Small-result-b74;;;2;40102100;2;30006100
B-1-BA_40_60_2;;;12;36007600;12;29006700
A-1-BA_200_10_5;;;32;34006200;32;32008100
A-1-BA_60_70_3;;;1440;90020300;1440;76017100
B-1-university-of-pretoria_20150805_1406.normalized.gml.80;;;12;35009300;12;29006200
A-2-admbuster_10000;;;1;117736400;1;105265300
T-1-BA_80_30_3;;;768;64014600;768;53012300
T-4-afinput_exp_acyclic_depvary_step7_batch_yyy08;;;1;28954712900;1;3504786800
Small-result-b13;;;2;36007800;2;28005700
Small-result-b18;;;2;37006700;2;31007500
A-3-afinput_exp_cycles_indvary2_step1_batch_yyy10;;;1;9196166200;1;1411637000
C-2-afinput_exp_acyclic_depvary_step6_batch_yyy05;;;1;6536522400;1;1090244800
n320p5q2_n;;;17;65354206500;17;68783499700
A-2-afinput_exp_cycles_depvary_step4_batch_yyy03;;;1;2841648200;1;537122600
C-1-BA_120_20_5;;;192;47010500;192;35008400
B-1-admbuster_2000;;;1;47432600;1;43009900
Medium-result-b17;;;8;2201492700;8;525774100
A-3-afinput_exp_acyclic_depvary_step5_batch_yyy01;;;1;4866882300;1;804180100
T-1-afinput_exp_acyclic_indvary1_step3_batch_yyy03;;;1;46010100;1;37008500
B-2-afinput_exp_acyclic_indvary2_step2_batch_yyy10;;;1;17726979500;1;2190491400
A-1-admbuster_1000;;;1;39008700;1;37008000
T-3-afinput_exp_acyclic_indvary1_step2_batch_yyy09;;;1;16180318300;1;2006450100
A-1-BA_40_80_5;;;384;46010900;384;52011200
B-1-afinput_exp_cycles_indvary1_step8_batch_yyy08;;;1;35007900;1;25005700
T-1-BA_100_10_5;;;2;37663000;2;29007000
C-1-bluestar-or-us.gml.20;;;4;37008600;4;28005300
Small-result-b39;;;2;40008700;2;27006100
Small-result-b75;;;3;44011100;3;34007000
Small-result-b37;;;4;37008700;4;29004900
C-1-stb_463_93;;;3;304519900;3;241054800
Small-result-b98;;;3;44010000;3;33007700
Medium-result-b1;;;15;1644338400;15;373082700
Small-result-b103;;;3;44009700;3;34091700
Small-result-b65;;;2;34655600;2;30006700
B-2-stb_625_161;;;2;259058400;2;280063300
n160p5q2_ve;;;8;700157100;8;961216400
T-3-afinput_exp_cycles_indvary2_step1_batch_yyy03;;;1;7807743500;1;1205274300
A-3-afinput_exp_cycles_indvary1_step1_batch_yyy02;;;1;5733288300;1;912204600
A-1-admbuster_2000;;;1;41008200;1;47010600
B-3-stb_428_430;;;2;4697623400;2;8283859400
Small-result-b25;;;2;42009400;2;33009100
T-3-afinput_exp_cycles_indvary1_step1_batch_yyy02;;;1;5782295200;1;907203800
T-1-ferry2.pfile-L2-C4-06.pddl.2.cnf;;;14;47010700;14;35008000
Small-result-b52;;;9;42008900;9;31006800
Small-result-b36;;;2;37008500;2;31007200
T-1-grd_1222_5_4;;;1;107024900;1;131029200
Small-result-b40;;;3;39007700;3;28005500
C-1-stb_373_251;;;2;66966200;2;54011400
Small-result-b57;;;2;36007500;2;25005300
T-3-afinput_exp_cycles_indvary1_step2_batch_yyy01;;;1;7092595700;1;1133256500
A-1-afinput_exp_acyclic_depvary_step3_batch_yyy01;;;1;32007300;1;37008100
Small-result-b51;;;5;36007500;5;30007100
T-1-grd_1892_1_3;;;1;72563000;1;82018300
Small-result-b11;;;2;38008600;2;27006500
T-1-grd_2130_2_7;;;1;128028900;1;163036600
T-2-grd_3434_3_2;;;1;484625800;1;629151200
