file;argcount;prob;ca_sol_n;ca_time_ns;m_sol_n;m_time_ns
A-3-afinput_exp_cycles_depvary_step4_batch_yyy05;;;0;273060900;0;1600358400
Small-result-b59;;;2;29005500;2;29006800
A-1-BA_60_70_3;;;1440;107024500;1440;75016900
T-3-afinput_exp_cycles_indvary1_step1_batch_yyy03;;;4;157035900;4;742166500
T-1-cascadespoint-or-us.gml.20;;;0;29007000;0;27005200
A-1-grd_1790_4_8;;;1;94021200;1;289064900
A-2-WS_300_16_90_30;;;2;2053723400;2;3631164600
Small-result-b13;;;2;29007500;2;30006600
Small-result-b44;;;3;28004900;3;30006000
A-3-afinput_exp_cycles_indvary1_step2_batch_yyy01;;;1;242054700;1;1381310200
T-1-ferry2.pfile-L3-C1-04.pddl.2.cnf;;;20;38008900;20;38008100
A-1-ER_100_100_1;;;0;37008300;0;47011200
Small-result-b75;;;3;31006200;3;28006100
B-2-afinput_exp_cycles_indvary2_step1_batch_yyy10;;;0;291235200;0;1688379300
A-1-ferry2.pfile-L2-C1-05.pddl.3.cnf;;;24;33008000;24;31006900
Medium-result-b1;;;15;153033200;15;362079800
Small-result-b46;;;5;27005800;5;31007300
T-1-stb_280_229;;;3;32007600;3;32007300
T-2-afinput_exp_acyclic_depvary_step5_batch_yyy03;;;1;98021800;1;397088800
T-3-grd_8034_1_2;;;1;397153800;1;1510818400
T-2-stb_339_81;;;9;780126400;9;1577363700
T-2-grd_3434_3_2;;;1;201044500;1;814183200
A-2-admbuster_8000;;;1;86019100;1;121027200
A-4-afinput_exp_acyclic_depvary_step7_batch_yyy08;;;1;601134700;1;4116925000
B-4-stb_547_485;;;5;2510562300;5;3474780400
T-1-admbuster_1000;;;1;35007700;1;39008900
n160p5q2_ve;;;8;603135600;8;710159800
T-1-ferry2.pfile-L2-C4-06.pddl.2.cnf;;;14;31008000;14;36008200
Small-result-b73;;;2;27006500;2;31006900
B-2-stb_291_2;;;3;526117800;3;695157100
A-1-brookings-or-us.gml.50;;;3;29006800;3;31007400
Small-result-b81;;;3;26006900;3;26005600
C-2-afinput_exp_cycles_depvary_step3_batch_yyy08;;;1;239596800;1;1372309300
B-1-afinput_exp_acyclic_indvary1_step3_batch_yyy06;;;1;30007000;1;38009300
Medium-result-b24;;;8;126436100;8;359080600
B-1-admbuster_1000;;;1;35007500;1;37008600
C-1-grd_1222_5_4;;;1;67014800;1;171038500
